name,time/op (ns/op),±
Ints/BuiltinSort-Sort-Random-256,3.20000E+01,0%
Ints/BuiltinSort-Stable-Random-256,3.20000E+01,0%
Ints/BuiltinSort-SpecializedInts-Random-256,0.00000E+00
Ints/BuiltinSort-Slice-Random-256,6.40000E+01,0%
Ints/BuiltinSort-SliceStable-Random-256,6.40000E+01,0%
Ints/Dps-SpecializedInts-Xor-256,0.00000E+00
Ints/Dps-TypeAssertion-Xor-256,8.22400E+03,0%
Ints/TimSort-TypeAssertion-Xor-256,1.05760E+04,0%
Ints/TimSort-Interface-Xor-256,3.40800E+03,0%
Ints/TimSort-Slice-Xor-256,3.50400E+03,0%
Ints/BuiltinSort-Sort-Xor-256,3.20000E+01,0%
Ints/BuiltinSort-Stable-Xor-256,3.20000E+01,0%
Ints/BuiltinSort-SpecializedInts-Xor-256,0.00000E+00
Ints/BuiltinSort-Slice-Xor-256,6.40000E+01,0%
Ints/BuiltinSort-SliceStable-Xor-256,6.40000E+01,0%
Ints/Dps-SpecializedInts-Random-1024,0.00000E+00
Ints/Dps-TypeAssertion-Random-1024,3.28000E+04,0%
Ints/TimSort-TypeAssertion-Random-1024,4.53920E+04,0%
Ints/TimSort-Interface-Random-1024,1.46720E+04,0%
Ints/TimSort-Slice-Random-1024,1.47680E+04,0%
Ints/BuiltinSort-Sort-Random-1024,3.20000E+01,0%
Ints/BuiltinSort-Stable-Random-1024,3.20000E+01,0%
Ints/BuiltinSort-SpecializedInts-Random-1024,0.00000E+00
Ints/BuiltinSort-Slice-Random-1024,6.40000E+01,0%
Ints/BuiltinSort-SliceStable-Random-1024,6.40000E+01,0%
Ints/Dps-SpecializedInts-Xor-1024,0.00000E+00
Ints/Dps-TypeAssertion-Xor-1024,3.28000E+04,0%
Ints/TimSort-TypeAssertion-Xor-1024,4.53920E+04,0%
Ints/TimSort-Interface-Xor-1024,1.46720E+04,0%
Ints/TimSort-Slice-Xor-1024,1.47680E+04,0%
Ints/BuiltinSort-Sort-Xor-1024,3.20000E+01,0%
Ints/BuiltinSort-Stable-Xor-1024,3.20000E+01,0%
Ints/BuiltinSort-SpecializedInts-Xor-1024,0.00000E+00
Ints/BuiltinSort-Slice-Xor-1024,6.40000E+01,0%
Ints/BuiltinSort-SliceStable-Xor-1024,6.40000E+01,0%
Ints/Dps-SpecializedInts-Random-4096,0.00000E+00
Ints/Dps-TypeAssertion-Random-4096,1.31104E+05,0%
Ints/TimSort-TypeAssertion-Random-4096,1.93072E+05,0%
Ints/TimSort-Interface-Random-4096,6.40480E+04,0%
Ints/TimSort-Slice-Random-4096,6.41440E+04,0%
Ints/BuiltinSort-Sort-Random-4096,3.20000E+01,0%
Ints/BuiltinSort-Stable-Random-4096,3.20000E+01,0%
Ints/BuiltinSort-SpecializedInts-Random-4096,0.00000E+00
Ints/BuiltinSort-Slice-Random-4096,6.40000E+01,0%
Ints/BuiltinSort-SliceStable-Random-4096,6.40000E+01,0%
Ints/Dps-SpecializedInts-Xor-4096,0.00000E+00
Ints/Dps-TypeAssertion-Xor-4096,1.31104E+05,0%
Ints/TimSort-TypeAssertion-Xor-4096,1.52112E+05,0%
Ints/TimSort-Interface-Xor-4096,4.35680E+04,0%
Ints/TimSort-Slice-Xor-4096,4.36640E+04,0%
Ints/BuiltinSort-Sort-Xor-4096,3.20000E+01,0%
Ints/BuiltinSort-Stable-Xor-4096,3.20000E+01,0%
Ints/BuiltinSort-SpecializedInts-Xor-4096,0.00000E+00
Ints/BuiltinSort-Slice-Xor-4096,6.40000E+01,0%
Ints/BuiltinSort-SliceStable-Xor-4096,6.40000E+01,0%
Ints/Dps-SpecializedInts-Random-16384,0.00000E+00
Ints/Dps-TypeAssertion-Random-16384,5.24320E+05,0%
Ints/TimSort-TypeAssertion-Random-16384,7.50128E+05,0%
Ints/TimSort-Interface-Random-16384,2.44272E+05,0%
Ints/TimSort-Slice-Random-16384,2.44368E+05,0%
Ints/BuiltinSort-Sort-Random-16384,3.20000E+01,0%
Ints/BuiltinSort-Stable-Random-16384,3.20000E+01,0%
Ints/BuiltinSort-SpecializedInts-Random-16384,0.00000E+00
Ints/BuiltinSort-Slice-Random-16384,6.40000E+01,0%
Ints/BuiltinSort-SliceStable-Random-16384,6.40000E+01,0%
Ints/Dps-SpecializedInts-Xor-16384,0.00000E+00
Ints/Dps-TypeAssertion-Xor-16384,5.24320E+05,0%
Ints/TimSort-TypeAssertion-Xor-16384,5.45328E+05,0%
Ints/TimSort-Interface-Xor-16384,1.41872E+05,0%
Ints/TimSort-Slice-Xor-16384,1.41968E+05,0%
Ints/BuiltinSort-Sort-Xor-16384,3.20000E+01,0%
Ints/BuiltinSort-Stable-Xor-16384,3.20000E+01,0%
Ints/BuiltinSort-SpecializedInts-Xor-16384,0.00000E+00
Ints/BuiltinSort-Slice-Xor-16384,6.40000E+01,0%
Ints/BuiltinSort-SliceStable-Xor-16384,6.40000E+01,0%
Ints/Dps-SpecializedInts-Random-65536,0.00000E+00
Ints/Dps-TypeAssertion-Random-65536,2.09718E+06,0%
Ints/TimSort-TypeAssertion-Random-65536,2.97835E+06,0%
Ints/TimSort-Interface-Random-65536,9.65168E+05,0%
Ints/TimSort-Slice-Random-65536,9.65264E+05,0%
Ints/BuiltinSort-Sort-Random-65536,3.20000E+01,0%
Ints/BuiltinSort-Stable-Random-65536,3.20000E+01,0%
Ints/BuiltinSort-SpecializedInts-Random-65536,0.00000E+00
Ints/BuiltinSort-Slice-Random-65536,6.40000E+01,0%
Ints/BuiltinSort-SliceStable-Random-65536,6.40000E+01,0%
Ints/Dps-SpecializedInts-Xor-65536,0.00000E+00
Ints/Dps-TypeAssertion-Xor-65536,2.09718E+06,0%
Ints/TimSort-TypeAssertion-Xor-65536,2.11819E+06,0%
Ints/TimSort-Interface-Xor-65536,5.35088E+05,0%
Ints/TimSort-Slice-Xor-65536,5.35184E+05,0%
Ints/BuiltinSort-Sort-Xor-65536,3.20000E+01,0%
Ints/BuiltinSort-Stable-Xor-65536,3.20000E+01,0%
Ints/BuiltinSort-SpecializedInts-Xor-65536,0.00000E+00
Ints/BuiltinSort-Slice-Xor-65536,6.40000E+01,0%
Ints/BuiltinSort-SliceStable-Xor-65536,6.40000E+01,0%
StructSliceByAge/Unstable-Dps-TypeAssertion-Random-256,1.23200E+04,0%
StructSliceByAge/Stable-TimSort-TypeAssertion-Random-256,1.46720E+04,0%
StructSliceByAge/Stable-TimSort-Interface-Random-256,3.40800E+03,0%
StructSliceByAge/Stable-TimSort-Slice-Random-256,3.55200E+03,0%
StructSliceByAge/Unstable-BuiltinSort-Sort-Random-256,3.20000E+01,0%
StructSliceByAge/Unstable-BuiltinSort-Slice-Random-256,1.12000E+02,0%
StructSliceByAge/Stable-BuiltinSort-Stable-Random-256,3.20000E+01,0%
StructSliceByAge/Stable-BuiltinSort-SliceStable-Random-256,1.12000E+02,0%
StructSliceByAge/Unstable-Dps-TypeAssertion-Xor-256,1.23200E+04,0%
StructSliceByAge/Stable-TimSort-TypeAssertion-Xor-256,1.46720E+04,0%
StructSliceByAge/Stable-TimSort-Interface-Xor-256,3.40800E+03,0%
StructSliceByAge/Stable-TimSort-Slice-Xor-256,3.55200E+03,0%
StructSliceByAge/Unstable-BuiltinSort-Sort-Xor-256,3.20000E+01,0%
StructSliceByAge/Unstable-BuiltinSort-Slice-Xor-256,1.12000E+02,0%
